	alpha0	alpha7	alpha14	alpha21	alpha28	alpha35	alpha42	alpha49	alpha56	alpha63	alpha70	alpha77	alpha84	alpha91	alpha98	alpha105	alpha112	alpha119
YAL022C	-0.36	-0.42	0.29	-0.14	-0.19	-0.52	0.04	0.04	0.37	0.24	0.13	0.22	0.04	-0.24	-0.22	-0.1	0.22	0.61
YAL040C	1.04	0.19	0.47	-1.03	-0.63	-0.68	0.1	-0.02	0.53	0.68	0.51	-0.2	-0.34	-0.59	-0.31	-0.25	0.11	0.44
YAL053W	0.21	-0.2	0.2	0.15	0.38	0.37	0.01	-0.4	-0.43	-0.62	0.18	0.24	-0.07	-0.16	0.28	0.43	-0.21	-0.33
YAL067C	0.01	0.07	0.17	0.035	-0.1	0.08	0.64	0.39	0.33	-0.18	-0.54	-0.2	-0.04	-0.54	0.29	-0.46	0.06	0.03
YAR003W	-0.3	-0.45	0.75	0.37	0.27	-0.28	-0.16	-0.13	-0.56	-0.28	0.11	0.3	0.22	0.08	0.07	-0.02	0.11	-0.1
YAR007C	-0.48	-0.42	0.87	0.92	0.67	-0.18	-0.35	-1.06	-0.81	-0.18	0.53	0.8	0.45	0.16	-0.09	-0.35	-0.11	-0.35
YAR008W	-0.35	0.1	0.47	0.39	0.17	-0.18	-0.21	-0.08	-0.36	-0.08	-0.2	0.5	0.05	-0.2	-0.11	0.3	-0.21	0
YAR018C	-0.46	0.12	-0.06	-0.76	-0.7	-0.79	-0.2	-0.06	0.82	0.36	0.68	-0.13	0.2	-0.32	0.04	0.57	0.17	0.53
YAR071W	-1.35	-0.86	-0.22	-0.38	-0.65	-0.79	0.02	0.6	1.38	1.59	1.03	0.99	0.11	-0.39	-0.86	-0.41	-0.2	0.41
YBL002W	-2.06	-1.98	-1.64	-0.21	1.21	0.69	0.85	0.43	-0.32	-0.77	-1.1	-0.02	0.88	1.3	1.29	1.29	0.16	0
YBL003C	-1.61	-2.55	-1.09	-0.55	0.98	1.14	0.9	0.43	-0.41	-0.38	-1.18	-0.16	0.77	1.27	1.17	1.3	0.05	-0.09
YBL009W	-0.8	-1.25	-0.06	0.27	0.51	0.17	0.3	-0.01	-0.29	0.06	-0.15	0.43	0.25	0.21	0.43	-0.04	0.07	-0.1
YBL023C	-0.32	-0.24	0.31	0.11	-0.67	-1.01	-0.56	0.13	0.33	1.08	0.61	0.69	0.14	-0.39	-0.67	0.22	-0.37	0.6
YBL030C	-0.07	-0.46	0.41	0.16	0.58	-0.07	0.45	0.04	0.07	-0.07	-0.08	-0.28	-0.09	-0.08	0.16	-0.35	0.02	-0.35
YBL035C	-0.39	-0.58	1.08	1.21	0.52	-0.33	-0.58	-0.08	-1.02	0.51	0.11	0.34	0.39	0.1	-0.47	-0.05	-0.53	-0.24
YBL052C	0.11	-0.54	-0.45	-0.23	-0.14	0.39	0.15	0.15	0.02	0.17	-0.38	-0.14	-0.06	0.17	0.11	0.07	0.37	0.23
YBL061C	0.15	-0.07	-0.09	0	0.02	-0.46	-0.11	-0.14	-0.02	0.03	-0.03	0.41	0.13	0.11	0.1	0.03	-0.12	0.05
YBL063W	-0.43	0.15	0.3	0.05	0.07	-0.02	0.33	0.26	-0.41	-0.405	-0.4	0.03	0.05	0.2	-0.16	0.37	-0.31	-0.08
YBL064C	-0.23	0.09	0.41	-0.11	-0.03	-0.48	-0.3	-0.25	-0.01	-0.17	0.37	-0.09	-0.2	-0.18	0.21	1.01	-0.06	0.01
YBL098W	-0.56	-0.54	0.15	-0.56	0.05	-0.07	0.31	0.15	0.4	0.02	0.11	0.49	-0.28	-0.43	0.21	0.4	-0.01	0.17
YBL100C	-0.27	-0.66	0.3	0.19	0.24	0.24	0.03	-0.09	-0.21	-0.035	0.14	0.01	-0.12	-0.025	0.07	0.055	0.04	0
YBL111C	-0.66	-0.47	0.68	0.72	-0.12	-0.64	-0.51	-0.44	-0.34	0.56	0.37	0.94	0.19	0.04	-0.47	0.22	-0.38	0.32
YBL112C	-0.87	-0.36	0.51	1.09	-0.21	0.33	-0.97	-0.31	-0.47	0.1	0.43	1.25	-0.1	-0.1	-0.18	0.07	-0.45	0.23
YBL113C	-0.61	-0.35	0.25	0.86	-0.21	-0.47	-0.49	-0.44	-0.35	0.7	0.25	0.85	0.19	0.01	-0.37	0.37	-0.37	0.17
YBR007C	-0.09	-0.25	0.05	0.09	0.52	0.13	-0.08	-0.39	-0.11	-0.29	0.11	0	-0.11	-0.06	0.4	0.58	-0.29	-0.22
YBR008C	-0.03	-0.25	-0.15	-0.02	0.35	0.02	0.23	0.13	-0.19	0.11	-0.87	0.21	0.08	0.11	0.39	-0.19	0.05	0.03
YBR009C	-2.36	-2.71	-1.46	-0.16	1.51	1.65	0.68	0.41	-0.31	-0.33	-0.74	-0.01	0.97	1.01	1.36	0.67	0.08	-0.26
YBR010W	-1.81	-1.94	-1.33	0.01	1.51	0.91	0.69	0.11	-0.4	-0.78	-1.12	-0.09	0.96	1.32	1.24	0.57	0.35	-0.2
